sports,body_spo
208,'ศึกกอล์ฟยูโรเปี้ยน ทัวร์ รายการ เอ็นบีโอ โอมาน โอเพ่น ที่กรุงมัสกัต ประเทศโอมาน เมื่อวันศุกร์ที่ผ่านมา เป็นการแข่งขันในรอบ 2 ปรากฎว่า มาติเยอ ปาวง โปรหนุ่มจากฝรั่งเศส ฟอร์มสดรัวเพิ่ม 7 อันเดอร์พาร์ 65 รวม 11 อันเดอร์พาร์ 133 ขยับขึ้นรั้งตำแหน่งผู้นำเดี่ยว โดยทิ้ง แมตธิว เซาธ์เกต โปรเมืองผู้ดี ที่ตามมาเป็นอันดับ 2 ด้วยสกอร์รวม 9 อันเดอร์พาร์ 135 ห่าง 2 สโตรก ส่วนอันดับ 3 ร่วมเป็น พอล วอริง และคริส วูด 2 โปรจากอังกฤษ ที่ทำสกอร์รวมเท่ากัน 8 อันเดอร์พาร์ 136ขณะที่ผลงานของโปรไทย พชร คงวัดใหม่ หวดเพิ่ม 3 อันเดอร์พาร์ 69 รวม 5 อันเดอร์พาร์ 139 รั้งอันดับ 9 ร่วม ธงชัย ใจดี สกอร์รวม 1 อันเดอร์พาร์ 143 อยู่ที่ 46 ร่วมผ่านการตัดตัวเข้าไปเล่นใน 2 วันสุดท้ายได้อย่างหวุดหวิด ส่วน อติวิชญ์ เจนวัฒนานนท์ ทำสกอร์รวม 2 โอเวอร์พาร์ 146 ไม่ผ่านตัดตัว                                                                  5'
209,'แมนเชสเตอร์ ซิตี จ่าฝูงพรีเมียร์ลีก อังกฤษ ได้รับข่าวดีเมื่อ กาเบรียล เชซุส ดาวยิงเลือดแซมบ้า สามารถกลับมาซ้อมอย่างเต็มรูปแบบได้เรียบร้อยแล้วเมื่อวันศุกร์ที่ผ่านมาเชซุสได้รับบาดเจ็บหัวเข่าจากเกมพบ คริสตัล พาเลซ เมื่อวันที่ 31 ธคที่ผ่านมาและพักยาวมาตลอดก่อนที่จะกลับมาซ้อมได้ดังกล่าว อย่างไรก็ตาม เปป กวาร์ดิโอลา ผู้จัดการทีมเรือใบสีฟ้า ยืนยันว่า หัวหอกทีมชาติบราซิล ยังไม่พร้อมกลับมาลงสนามในเกมเอฟเอ คัพ กับ วีแกน วันจันทร์นี้มันเป็นข่าวดี แต่ผมไม่รู้ว่าเขาจะพร้อมกลับมาลงสนามได้เมื่อไร เขาซ้อมคนเดียวมาหนึ่งหรือสองสัปดาห์แล้ว และวันนี้เป็นครั้งแรกที่เขากลับมาซ้อมกับทีม กวาร์ดิโอลา กล่าว                                                                  5'
210,'ศึกเทนนิสดับเบิลยูทีเอ ทัวร์ รายการ กาตาร์ โททัล โอเพ่น ที่กรุงโดฮา ประเทศกาตาร์ เมื่อวันศุกร์ที่ผ่านมา ในประเภทหญิงเดี่ยวรอบก่อนรองชนะเลิศ แคโรไลน์ วอซเนียคกี มือ 1 ของโลกจากเดนมาร์ก ต้องลุ้นเหนื่อยถึง 3 เซตก่อนเบียดเอาชนะ อันเจลิก แคร์เบอร์ มือ 8 จากเยอรมนี ลงได้อย่างสนุก 21 เซต 76 74 16 63 พร้อมตบเท้าเข้าสู่รอบรองชนะเลิศต่อไปได้สำเร็จ โดย วอซซี จะดวลกับ เปตรา ควิโตวา มือ 16 จากเช็ก ที่ชนะ จูเลีย จอร์เกส มือ 9 จากเยอรมนี 64 21 จอร์เกส ขอยอมแพ้เนื่องจากบาดเจ็บ เป็นด่านต่อไปส่วน ซิโมนา ฮาเลป มือ 2 จากโรมาเนีย ฟอร์มยังยอดเยี่ยม หลังสอนเชิง แคทเธอรีน เบลลิส นักหวดสาวจากสหรัฐ ขาดลอย 2 เซตรวด 60 64 อย่างไรก็ตาม เจ้าตัวมีอาการบาดเจ็บที่เท้าขวา และตัดสินใจถอนตัวออกจากการแข่งขันไปเรียบร้อยแล้ว และคาดว่าน่าจะต้องพักยาวจนถึงเดือนมีนาคม ส่งผลให้ การ์บีเญ มูกูรูซา มือ 4 จากสเปน ที่เอาชนะ คาโรไลน์ การ์เซีย มือ 7 จากฝรั่งเศส 21 เซต 36 61 64 ในรอบก่อนรองชนะเลิศนั้น ได้สิทธิ์ทะลุเข้าไปยืนรอในรอบชิงชนะเลิศทันทีโดยไม่ต้องเสียเหงื่อในรอบตัดเชือกแม้แต่หยดเดียว                                                                  5'
211,'ศึกเทนนิสเอทีพี เวิลด์ ทัวร์ รายการ เอบีเอ็น อัมโร เวิลด์ เทนนิส ทัวร์นาเมนต์ ที่เมืองรอตเตอร์ดัม ประเทศเนเธอร์แลนด์ เมื่อวันศุกร์ที่ผ่านมา ในประเภทชายเดี่ยวรอบก่อนรองชนะเลิศ โรเจอร์ เฟเดอเรอร์ เต็ง 1 จากสวิตเซอร์แลนด์ ทำเสียวเล็กๆ เมื่อต้องออกแรงพลิกสถานการณ์จากที่ตกเป็นรองก่อน 1 เซตกลับมาเอาชนะ โรบิน ฮาเซอ จากเนเธอร์แลนด์ 21 เซต 46 61 61 ลอยลำผ่านเข้าสู่รอบรองชนะเลิศไปพบกับ อันเดรียส เซปปิ จากอิตาลี ที่เอาชนะ ดานีล เมดเวเดฟ จากรัสเซีย มาได้ 21 เซต 76 74 46 63จากชัยชนะแมตช์นี้ทำให้ เฟเดอเรอร์ สามารถขยับแซง ราฟาเอล นาดาล คู่ปรับตลอดกาลจากสเปน ขึ้นไปครองมือ 1 โลกในการประกาศอันดับวันจันทร์ที่จะถึงนี้ได้เรียบร้อยแล้ว รวมทั้งยังทำให้ เฟดเอ็กซ์ ซึ่งจะคืนบัลลังก์มือ 1 โลกเป็นครั้งแรกในรอบ 5 ปีนั้น ทำสถิติเป็นนักเทนนิสอายุมากที่สุดที่สามารถยึดมือ 1 โลกมาครองได้สำเร็จด้วยวัย 36 ปี 195 วัน ทำลายสถิติเดิมของ อังเดร อากัสซี ตำนานนักหวดชาวอเมริกัน ที่ทำเอาไว้ 33 ปี 133 วันลงได้อย่างราบคาบส่วน กริกอร์ ดิมิตรอฟ มือ 2 จากบัลแกเรีย แร็กเกตยังร้อนหลังไล่ต้อน อังเดร รูเบลฟ จากรัสเซีย สบายมือ 2 เซตรวด 63 64 ผ่านเข้าไปตัดเชือกกับ ดาวิด กอฟแฟง มือ 4 จากเบลเยียม ที่ชนะผ่าน โทมัส เบอร์ดิช มือ 6 จากเช็ก ที่มีอาการป่วยจนต้องขอถอนตัวไปก่อนการแข่งขัน                                                                  5'
212,'ศึกบุนเดสลีกา เยอรมนี เมื่อวันศุกร์ที่ผ่านมา ไมนซ์ 05 ที่แพ้รวดมา 4 นัดรวมทุกรายการกลับมาคืนฟอร์มเก่งอีกครั้ง หลังบุกไปพิชิต แฮร์ธา เบอร์ลิน ถึงบ้าน 20 โดยเกมนี้ โรบิน ไควสัน เหมาซัดให้ทีมเยือนคนเดียว 2 ตุงในนาทีที่ 40 และ65 ทำให้ ไมนซ์ เก็บเพิ่มเป็น 23 คะแนนจาก 23 นัดอยู่ที่ 16 ส่วน หญิงชรา มี 30 คะแนนรั้งอันดับ 11                                                                  5'
213,'ศึกเอฟเอ คัพ รอบ 5 หรือ รอบ 16 ทีมสุดท้าย เมื่อวันศุกร์ที่ผ่านมา เลสเตอร์ ซิตี ต้องลุ้นจนหืดขึ้นคอก่อนเปิดสนาม คิงเพาเวอร์ สเตเดี้ยม เฉือน เชฟฟิลด์ ยูไนเต็ด คู่แข่งจากอีเอฟแอล แชมเปี้ยนชิพ ลงได้หวุดหวิด 10 คว้าตั๋วผ่านเข้าสู่รอบก่อนรองชนะเลิศได้สำเร็จเป็นทีมแรก โดย จิ้งจอกสยาม ได้ประตูชัยจาก เจมี วาร์ดี หัวหอกตัวเก่ง ในนาทีที่ 66                                                                  5'
214,'ศึกลา ลีกา สเปน เมื่อวันศุกร์ที่ผ่านมา คิโรนา ไม่ทำให้กองเชียร์ต้องผิดหวัง หลังเปิดบ้านไล่ต้อน เลกาเนส สบายเท้า 30 โดย คริสเตียน สตูอานี กดจุดโทษให้เจ้าถิ่นออกนำ 10 ในนาทีที่ 23 จากนั้นนาทีที่ 36 คริสเตียน ปอร์ตู จึงมาบวกเพิ่มให้ คิโรนา นำห่าง 20 ก่อนที่ ฆวนเป จะมาซัดปิดกล่งเป็น 30 ในนาทีที่ 85 จากชัยชนะนัดนี้ทำให้ คิโรนา มี 34 คะแนนจาก 24 นัดอยู่ที่ 8 ส่วน เลกาเนส มี 29 คะแนนอยู่ที่ 12                                                                  5'
215,'ศึกเอฟเอ คัพ รอบ 5 หรือ รอบ 16 ทีมสุดท้าย เมื่อวันศุกร์ที่ผ่านมา เชลซี โชว์ฟอร์มโหดหลังเปิดรัง สแตมฟอร์ด บริดจ์ ไล่ถล่ม ฮัลล์ ซิตี คู่แข่งจากเดอะ แชมเปี้ยนชิพ ไม่เลี้ยง 40 ลอยลำเข้าสู่รอบ 8 ทีมสุดท้ายตามคาด โดยเจ้าถิ่นได้ประตูจาก วิลเลียน นาทีที่ 2 กับ 32 เปโดร โรดริเกซ นาทีที่ 27 และโอลิวิเยร์ ชิรูด์ ดาวยิงตัวใหม่ ในนาทีที่ 42 ซึ่งนับเป็นประตูแรกของเจ้าตัวในสีเสื้อ สิงห์สำอาง อีกด้วย ส่วน ฮัลล์ พลาดโอกาสตีไข่แตกอย่างน่าเสียดายเมื่อได้จุดโทษในนาทีที่ 51 แต่ เดวิด เมย์เลอร์ กลับยิงไปติดเซฟของ วิลลี กาบาเยโร นายทวารเชลซี เสียอย่างนั้น                                                                  5'
216,'การแข่งขันกอล์ฟ พีจีเอ ทัวร์ รายการ เจเนซิส โอเพ่น ชิงเงินรางวัลรวม 72 ล้านดอลลาร์สหรัฐ ราว 2304 ล้านบาท ที่สนามริเวียรา คันทรี คลับ ระยะ 7322 หลา พาร์ 71 ในรัฐแคลิฟอร์เนีย สหรัฐอเมริกา เมื่อวันศุกร์ที่ 16 กพ ที่ผ่านมา เป็นการแข่งขันในรอบที่ 2 ผลปรากฏว่ามีนักกอล์ฟหลายคนยังแข่งไม่จบ เนื่องจากฟ้ามืดก่อน โดย แพทริค แคนท์ลีย์ จากสหรัฐ และ แกรม แม็คดาวล์ จากไอร์แลนด์เหนือ ซึ่งเล่นจบ 18 หลุม ทำสกอร์รวม 7 อันเดอร์พาร์ 135 รั้งตำแหน่งผู้นำร่วมกับ แซม ซอนเดอร์ส จากสหรัฐ ที่เล่นจบไป 15 หลุม โดยทั้ง 3 คนนำหน้า ไรอัน มัวร์ จากสหรัฐ ที่เล่นจบ 18 หลุมทำสกอร์รวม 6 อันเดอร์พาร์ 136 อยู่สโตรกเดียว ด้าน โทนี ฟิเนา โปรชาวสหรัฐ หนึ่งในผู้นำร่วมหลังจบรอบแรก เล่นจบ 18 หลุม ทำสกอร์รวม 5 อันเดอร์พาร์ 137 อยู่อันดับ 5 ร่วมกับ สกอตต์ สตอลลิงส์ โปรเพื่อนร่วมชาติที่เล่นจบไป 16 หลุม ส่วนผลงานนักกอล์ฟคนอื่นที่น่าสนใจ บับบา วัตสัน จอมตีไกลจากสหรัฐ เล่นจบ 18 หลุม สกอร์รวม 4 อันเดอร์พาร์ 138 อยู่ที่ 7 ร่วม จัสติน โธมัส โปรดังชาวสหรัฐ รวมถึง รอรี แม็คอิลรอย จากไอร์แลนด์เหนือ เล่นจบ 18 หลุมทำสกอร์รวม 2 อันเดอร์พาร์ 140 อยู่อันดับ 15 ร่วมกับนักกอล์ฟคนอื่น ๆ อีก 9 คน ขณะที่ จอร์แดน สปีธ และ ฟิล มิคเคลสัน 2 โปรดังจากสหรัฐ เล่นจบ 18 หลุม ทำสกอร์รวม 1 อันเดอร์พาร์ 141 รั้งที่ 26 ร่วมกับนักกอล์ฟอีก 6 คน ส่วน พญาเสือ ไทเกอร์ วูดส์ เจ้าของแชมป์เมเจอร์ 14 รายการจากสหรัฐ ซึ่งกลับมาลงแข่งขันในทัวร์นาเมนต์อย่างเป็นทางการของ พีจีเอ ทัวร์ เป็นรายการที่ 2 ของปีนี้นั้น ผลงานไม่ดีเท่าที่ควร หลังเล่นจบ 18 หลุม ทำสกอร์รวม 6 โอเวอร์พาร์ 148 อยู่อันดับ 116 ร่วม ส่อแววไม่ผ่านการตัดตัวเข้าไปเล่นใน 2 วันสุดท้าย อย่างไรก็ตาม อดีตโปรมือ 1 ของโลกวัย 42 ปี ยืนยันแล้วว่ารายการต่อไปที่เขาจะลงแข่งขันคือศึก เดอะ ฮอนด้า คลาสสิก ที่สนามพีจีเอ เนชันแนล รัฐฟลอริดา ในสัปดาห์หน้า                                                                    5'
217,'โกล ดอท คอม สื่อฟุตบอลชื่อดัง รายงานว่า ลิเวอร์พูล ยอดทีมในศึกพรีเมียร์ลีก อังกฤษ ตัดสินใจยุติความสนใจในการดึงตัว อลิสซอน เบคเกอร์ นายทวารของ โรมา ทีมดังในศึกกัลโช เซเรีย อา อิตาลี มาเสริมทัพแล้ว โดยเลือกที่จะมอบความไว้วางใจให้ ลอริส คาริอุส นายทวารชาวเยอรมัน มือ 1 ของทีมคนปัจจุบัน ให้ทำหน้าที่ต่อไปในระยะยาว ก่อนหน้านี้ มีข่าวว่า ลิเวอร์พูล ต้องการดึงมือกาว นางพญาหมาป่า มาเฝ้าเสาในถิ่นแอนฟิลด์ในฤดูกาลหน้า โดยที่บางกระแสข่าวระบุว่ายอดทีมจากถิ่นเมอร์ซีย์ไซด์ ได้ทำการตกลงกับตัวแทนของนายทวารทีมชาติบราซิลเรียบร้อยแล้ว เหลือแค่เจรจากับต้นสังกัดของนักเตะเท่านั้นอีกด้วย ซึ่งคาดว่าค่าตัวน่าจะสูงถึง 62 ล้านปอนด์ ราว 2604 ล้านบาท เป็นสถิติโลกในตำแหน่งผู้รักษาประตู อย่างไรก็ตาม ล่าสุด โกล ดอท คอม รายงานว่า เจอร์เกน คลอปป์ กุนซือหงส์แดง ตัดสินใจเลือก คาริอุส ที่โชว์ฟอร์มได้ดีในช่วงหลังให้เป็นมือ 1 ของทีมต่อไปในระยะยาว และได้แจ้งการตัดสินใจให้ เซ มาเรีย เนอิส เอเย่นต์ส่วนตัวของ อลิสซอน ทราบถึงการตัดสินใจดังกล่าวอย่างเป็นทางการแล้ว                                                                    5'
218,'โอลิวิเยร์ ชิรูด์ กองหน้าตัวใหม่ของ เชลซี ยักษ์ใหญ่แห่งศึกพรีเมียร์ลีก อังกฤษ ออกมายอมรับว่ารู้สึกโล่งใจหลังประเดิมยิงประตูแรกในสีเสื้อ สิงห์สำอาง ได้เป็นที่เรียบร้อยแล้ว หลังหัวหอกทีมชาติฝรั่งเศส ที่เพิ่งย้ายจาก อาร์เซนอล มาค้าแข้งในถิ่นสแตมฟอร์ด บริดจ์ เมื่อช่วงเดือนมกราคมที่ผ่านมานั้น ซัดประตูปิดท้ายช่วยให้ทีมเปิดบ้านถล่ม ฮัลล์ ซิตี 40 ในเกม เอฟเอ คัพ รอบ 16 ทีมสุดท้าย เมื่อวันศุกร์ที่ผ่านมา หัวหอกเลือดน้ำหอม ซึ่งเพิ่งลงเล่นให้ สิงห์สำอาง เป็นนัดที่ 3 และนอกจากจะได้ยิง 1 ลูกแล้ว ยังจ่ายให้เพื่อนยิงได้อีก 2 ประตูในเกมเมื่อวันศุกรที่ผ่านมานั้น กล่าวว่า บอกตามตรง ผมรอคอยที่จะยิงประตูแรกให้ เชลซี มาตลอด เกมก่อนหน้านี้ผมมีโอกาสอยู่ 23 ครั้ง ดังนั้น การยิงประตูแรกให้ทีมได้ในเกมนี้มันสำคัญมาก ๆ และบอกตามตรงเลยว่าผมรู้สึกโล่งใจมาก ๆ นอกจากนี้ผมยังพอใจมากที่จ่ายให้ วิลเลียน ยิงได้ด้วย ผมมีความสุขมาก ๆ กับเกมในสนาม และผมคิดว่าทุกคนคงเห็นแล้วว่าเราเล่นร่วมกันเป็นทีม สิ่งสำคัญคือการเรียกฟอร์มเก่งกลับมาหลังจากความพ่ายแพ้กับ วัตฟอร์ด ก่อนที่เราจะกลับมาเอาชนะ เวสต์บรอมวิช ได้ในเกมที่แล้ว รวมกับเกมนี้ เรายิงได้ 7 ลูกและไม่เสียประตูเลย ซึ่งนั่นคือสิ่งที่เราต้องการ                                                                  5'
219,'แกเรธ แบร์รี จอนนี อีแวนส์ เจค ลิเวอร์มอร์ และ โบอาซ มายฮิลล์ 4 นักเตะของ เวสต์บรอมวิช อัลเบียน ทีมดังในศึกพรีเมียร์ลีก อังกฤษ ออกแถลงการณ์ขอโทษ หลังทั้ง 4 คนก่อเหตุขโมยรถแท๊กซี่ขับกลับโรงแรมที่พัก ในนครบาร์เซโลนา ประเทศสเปน เมื่อวันพฤหัสบดีที่ 15 กพ ที่ผ่านมา รายงานระบุว่า นักเตะทั้ง 4 คน ออกจากโรงแรมที่พักในนครบาร์เซโลนาในช่วงดึก โดยนั่งรถแท๊กซี่ไปยังร้านอาหารฟาสต์ฟู้ดแห่งหนึ่ง โดยหลังจากรับประทานอาหารเรียบร้อยในเวลาราว ๆ ตี 5 ครึ่ง ทั้ง 4 คนขับรถแท๊กซี่คันเดิมกลับโรงแรมที่พักในตอนที่คนขับไม่อยู่ ก่อนที่เจ้าของรถจะแจ้งตำรวจและตามมาเจอรถคันดังกล่าวที่โรงแรมที่ทั้ง 4 คนพักอยู่ ในช่วง 8 โมงเช้า โดยนักเตะทั้ง 4 คนซึ่งละเมิดกฏของทีมที่ห้ามออกนอกที่พักหลังเที่ยงคืนด้วยนั้น ถูกเจ้าหน้าที่ตำรวจของนครบาร์เซโลนาสอบปากคำ แต่ไม่มีการจับกุมแต่อย่างใด ขณะที่ อลัน พาร์ดิว กุนซือ เดอะ แบกกีส์ ระบุว่าเหตุการณ์ดังกล่าวเป็นเรื่องที่ไม่สามารถรับได้ และเขารู้สึกผิดหวังกับสิ่งที่เกิดขึ้น แถลงการณ์จาก 4 แข้งฉาว เดอะ แบกกีส์ ระบุว่า เราอยากใช้โอกาสนี้ขอโทษเพื่อนร่วมทีม โค้ช และสโมสร โดยเฉพาะอย่างยิ่งบรรดาแฟนบอล เกี่ยวกับเหตุการณ์สร้างภาพลักษณ์ในด้านลบออกไปสู่สังคมในวงกว้าง เรารู้สึกว่ามันเป็นเรื่องสำคัญที่เราต้องออกมารยอมรับว่ามีแค่เราที่เป็นคนก่อเหตุขึ้นในระหว่างที่สโมสรเข้าแคมป์เก็บตัวในประเทศสเปน โดยที่เพื่อนร่วมทีมคนอื่น ๆ ไม่มีส่วนเกี่ยวข้อง สโมสรแจ้งเราแล้วว่าจะมีการดำเนินการสอบสวนเรื่องที่เกิดขึ้นเป็นการภายใน ซึ่งเราจะให้ความร่วมมืออย่างเต็มที่                                                                  5'
220,'ติเต กุนซือทีมชาติบราซิล ออกมาเปิดเผยว่าเวลานี้มีนักเตะ 15 คนที่การันตีการติดโผ ลา เซเลเซา ไปลุยศึกฟุตบอลโลก 2018 รอบสุดท้ายที่ประเทศรัสเซียในช่วงกลางปีนี้แน่นอนแล้ว ทำให้เหลือที่ว่างอีกแค่ 8 ที่สำหรับนักเตะคนอื่น ๆ ในการลุ้นคว้าตั๋วไปลุยแดนหมีขาวกับทัพนักเตะแซมบ้า กุนซือทัพ แซมบ้า เผยผ่านสื่อในบ้านเกิดว่า นักเตะ 15 คนที่ติดทีมไปรัสเซียแน่นอนแล้วนั้น ประกอบด้วย ดานี อัลเวส มาร์ควินญอส ติอาโก ซิลวา เนย์มาร์ โรแบร์โต ฟีร์มิโน วิลเลียน กาเบรียล เชซุส แฟร์นานดินโญ ฟิลิปเป คูตินโญ เปาลินโญ คาเซมิโร มาร์เซโล อลิสซอน เบคเกอร์ เจา มิรันดา และ เรนาโต ออกุสโต นอกจากนี้ ติเต ยังเผยถึง 11 ตัวจริงที่จะใช้ในศึกเวิลด์คัพอีกด้วย โดยมี อลิสซอน เป็นนายทวาร กองหลังใช้ ดานี อัลเวส เจา มิรันคา มาร์ควินญอส และ มาร์เซโล มิดฟิลด์ใช้ เปาลินโญ เล่นร่วมกับ เรนาโต ออกุสโต และ คาเซมิโร ส่วนแนวรุกประกอบด้วย ฟิลิปเป คูตินโญ กาเบรียล เชซุส และ เนย์มาร์                                                                   5'
221,'การแข่งขันกอล์ฟ แอลพีจีเอ ทัวร์ รายการ ไอเอสพีเอส ฮานดา วีเมนส์ ออสเตรเลียน โอเพ่น ชิงเงินรางวัลรวม 13 ล้านดอลลาร์สหรัฐ ราว 416 ล้านบาท ที่สนามคูยองกา กอล์ฟ คลับ ระยะ 6599 หลา พาร์ 72 ในเมืองอเดเลด ประเทศออสเตรเลีย เมื่อวันเสาร์ที่ 17 กพ ที่ผ่านมา เป็นการแข่งขันในรอบที่ 3 ผลปรากฏว่า โค จิน ยัง โปรเกาหลีใต้ที่ขึ้นนำมาตลอด 2 รอบแรกนั้น หวดเพิ่มแค่ 1 อันเดอร์พาร์ 71 แต่ยังเพียงพอสำหรับการรักษาตำแหน่งผู้นำเดี่ยวด้วยสกอร์ 11 อันเดอร์พาร์ 205 ทิ้งห่าง ฮานนาห์ กรีน โปรเจ้าถิ่นที่ตามมาเป็นอันดับ 2 ด้วยสกอร์รวม 7 อันเดอร์พาร์ 209 ถึง 4 สโตรกส่วนผลงานนักกอล์ฟไทย ดีที่สุดหลังจบรอบ 3 ได้แก่ โปรเม เอรียา จุฑานุกาล ซึ่งในรอบนี้เจ้าตัวตีอีเวนพาร์ 72 สกอร์รวม 3 อันเดอร์พาร์ 213 อยู่อันดับ 12 ร่วม ด้าน โปรโม โมรียา จุฑานุกาล สกอร์รวม 1 อันเดอร์พาร์ 215 รั้งที่ 22 ร่วม โปรอ๊าย ศรัณย์พร ลางคุลเกษตริน สกอร์รวมอีเวนพาร์ 216 อันดับ 31 ร่วม และ โปรแจน วิชาณี มีชัย สกอร์รวม 2 โอเวอร์พาร์ 218 อยู่อันดับ 50 ร่วม                                                                  5'
222,'นายขจร เจียรวนนท์ ประธานสโมสรทรู แบงค็อก ยูไนเต็ด เปิดเผยว่า เอิร์นสท์ มิดเดนดอร์ฟ ได้เข้ามารับหน้าที่ ผู้อำนวยการฝ่ายเทคนิค ทรู แบงค็อก เมื่อ 2 ปีก่อน เนื่องจากมีความรู้ความสามารถเกี่ยวกับฟุตบอล โดยเฉพาะฟุตบอลเยอรมนี ซึ่งตนชื่นชอบในระบบฟุตบอลเยอรมนีมานานแล้ว นอกจากนี้ ยังมีดีกรีพา อาร์มีเนีย บีเลเฟลด์ เลื่อนจากลีกา 3 สู่บุนเดสลีกา จนได้ฉายาจาก สโมสรบีเลเฟลด์ว่าเป็น โค้ชประวัติศาสตร์ รวมทั้งยังเดินทางไปเป็นเทรนเนอร์ทั่วโลก ล่าสุดน่ายินดีที่ เอิร์นสท์ มิดเดนดอร์ฟ มีชื่อชิงรางวัล เทรนเนอร์ หรือโค้ชแห่งปี 2018 ของ German football ambassor หรือ Fubo แสดงให้เห็นว่าการที่เลือกมาทำงานให้สโมสร เป็นการตัดสินใจถูกต้อง โดยรางวัลดังกล่าวจะ ประกาศในเดือน พคส่วน เอิร์นสท์ มิดเดนดอร์ฟ ผู้อำนวยการเทคนิคของสโมสรแบงค็อก กล่าวว่าหากได้รางวัลดังกล่าวมาก็จะมอบเงินสนับสนุนให้กับมูลนิธิการ พัฒนาด้านกีฬาให้กับ ทาง CP โดยประวัติของเขาสามารถติดตามได้ทาง ?wwwernstmiddendorpcom?                                                                  5'
223,'ความคืบหน้าการชกป้องกันแชมป์โลกครั้งที่ 4 ของ น็อคเอาท์ ซีพีเฟรชมาร์ท แชมป์โลกรุ่นมินิมั่มเวต 105 ปอนด์ สมาคมมวยโลก WBA กับ โตโต้ แลนเดโร่ ผู้ท้าชิงชาวฟิลิปินส์ ซึ่งจะมีขึ้นวันที่ 6 มีคนี้ ที่เวทีมวยชั่วคราว ลานหน้าศาลากลาง จชลบุรี ช่อง 7 ถ่ายทอดสด เวลา 13451600 นล่าสุด เสี่ยตังค์ ปิยะรัตน์ วชิรรัตนวงศ์ โปรโมเตอร์จัดการแข่งขัน เปิดเผยว่า ตนรู้สึกหวั่นใจพอสมควรในการชกป้องกันแชมป์โลกของน็อคเอาท์ครั้งนี้ เนื่องจากนักชกจากแดนตากาล็อก ถือเป็นของแสลงกับนักชกในค่ายเพชรยินดี ประกอบกับ โตโต้ ถือเป็นนักชกที่มีความเร็ว และหมัดคมดุดัน ซึ่ง น็อคเอาท์ จะประมาทไม่ได้เด็ดขาด จึงอยากฝากแฟนมวยชาวไทยช่วยส่งกำลังใจเชียร์น็อคเอาท์ในไฟต์ดังกล่าวด้วย                                                                  5'
